"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"060101","CAJAMARCA","841030","ANTENOR ORREGO ESPINOZA","Pública de gestión directa",65,8,"NA",-78.610246,-7.096899,"No"
"060101","CAJAMARCA","842647","RAINBOW SCHOOL","Privada",28,3,"NA",-78.5211,-7.15737,"No"
"060101","CAJAMARCA","845900","JHOMAR SCHOOL","Privada",17,3,"NA",-78.49103,-7.18456,"No"
"060101","CAJAMARCA","847193","REY JOSIAS","Privada",83,12,"NA",-78.500699,-7.171399,"No"
"060101","CAJAMARCA","848215","JOHANNES GUTENBERG","Privada",24,4,"NA",-78.50513,-7.17552,"No"
"060101","CAJAMARCA","852392","CARL FRIEDRICH GAUSS","Privada",41,7,"NA",-78.50765,-7.16037,"No"
"060101","CAJAMARCA","856521","ANTONIO RAIMONDI","Privada",513,38,"1",-78.51429,-7.14496,"Sí"
"060101","CAJAMARCA","856903","COLEGIO ADVENTISTA JOHN ANDREWS","Privada",444,30,"NA",-78.50335,-7.15828,"Sí"
"060101","CAJAMARCA","859280","WILLIAM CAREY","Privada",50,4,"NA",-78.50729,-7.17312,"No"
"060101","CAJAMARCA","859845","JUAN PABLO II","Privada",230,11,"NA",-78.50667,-7.15975,"No"
"060101","CAJAMARCA","859850","JUAN PABLO II","Privada",226,11,"NA",-78.517521,-7.157069,"No"
"060101","CAJAMARCA","863003","COLEGIO ADVENTISTA JOHN ANDREWS","Privada",95,11,"NA",-78.50335,-7.15828,"No"
