"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"130102","EL PORVENIR","252757","80627 LEONCIO PRADO GUTIERREZ","Pública de gestión directa",1956,67,"NA",-78.99434,-8.07248,"Sí"
"130102","EL PORVENIR","252762","80756 JOSE MARIA ARGUEDAS","Pública de gestión directa",1420,60,"NA",-78.98987,-8.0725,"Sí"
"130102","EL PORVENIR","252776","80819 FRANCISCO LIZARZABURO","Pública de gestión directa",2763,102,"NA",-79.001113,-8.080076,"Sí"
"130102","EL PORVENIR","252781","80823 EL INDOAMERICANO","Pública de gestión directa",2311,91,"NA",-79.00637,-8.07512,"Sí"
"130102","EL PORVENIR","252795","80824 JOSE CARLOS MARIATEGUI","Pública de gestión directa",2810,105,"1",-79.00268,-8.08649,"Sí"
"130102","EL PORVENIR","252818","81715 JESUS DIVINO MAESTRO","Pública de gestión directa",134,7,"NA",-78.9865,-8.0699,"No"
"130102","EL PORVENIR","252823","81778 RAMIRO PRIALE","Pública de gestión directa",407,15,"NA",-79.0134,-8.07003,"Sí"
"130102","EL PORVENIR","252842","LA ALEGRIA DEL SEÑOR","Pública de gestión directa",60,3,"NA",-79.0106,-8.07701,"No"
"130102","EL PORVENIR","252875","2026 MEDALLITA MILAGROSA","Pública de gestión directa",135,5,"NA",-79.01913,-8.06341,"No"
"130102","EL PORVENIR","252880","2027 DULCE DIVINO NIÑO CORAZON DE JESUS","Pública de gestión directa",107,4,"NA",-78.991793,-8.064748,"No"
"130102","EL PORVENIR","252899","82049 RAMON CASTILLA MARQUESADO","Pública de gestión directa",862,33,"NA",-79.01832,-8.06519,"Sí"
"130102","EL PORVENIR","252903","2029 ADITA ZANNIER DE MURGIA","Pública de gestión directa",175,7,"NA",-79.01542,-8.0663,"No"
"130102","EL PORVENIR","252917","EL BUEN PASTOR","Privada",540,30,"NA",-79.00414,-8.08527,"Sí"
"130102","EL PORVENIR","252922","LA CARIDAD","Pública de gestión privada",649,31,"NA",-78.99951,-8.07728,"Sí"
"130102","EL PORVENIR","252941","SAN MARTIN DE PORRES","Pública de gestión privada",900,57,"1",-78.99159,-8.08685,"Sí"
"130102","EL PORVENIR","252955","VIRGEN DEL CARMEN","Pública de gestión privada",576,20,"NA",-78.98622,-8.06685,"Sí"
"130102","EL PORVENIR","252979","SANTA ROSA","Privada",30,4,"NA",-78.99319,-8.07274,"No"
"130102","EL PORVENIR","252984","JESUS DE NAZARETH","Privada",326,22,"NA",-79.004054,-8.08339,"Sí"
"130102","EL PORVENIR","252998","JUAN PABLO II","Privada",112,23,"NA",-79.00089,-8.08333,"No"
"130102","EL PORVENIR","253002","SAN MATEO","Privada",304,16,"NA",-78.99852,-8.08518,"Sí"
"130102","EL PORVENIR","253021","TERESA DE LOS ANGELES","Privada",558,28,"NA",-79.00183,-8.0841,"Sí"
"130102","EL PORVENIR","253040","SEÑOR DE LOS MILAGROS","Privada",149,6,"NA",-79.01009,-8.07505,"No"
